id_producto,nombre_marca,nombre_reciclaje,nombre_empresa,nombre_productos_clasificacion,nombre,gramos_envase,formato,unidad,unidad_real,cantidad,texto,cluster300,label300,label
2267.0,vivo,,CCU,DESPENSA,Compota Vivo Veggies Manzana Pera Espinaca,1.0,120GR,GR,GR,120.0,compota vivo veggies manzana pera espinaca,97,Compota,Compota
2269.0,don,,,"DESAYUNOS, SNACKS Y  DULCES",Pepinillos Dill Extra,1.0,JUAN,JUAN,JUAN,,pepinillo dill extra,43,,Dill Pepinillo
2270.0,aconcagua,,,DESPENSA,Frutillas Enteras,1.0,590G,GR,GR,590.0,frutilla entero,43,,
2272.0,perfect,,PERFECT CHOICE,"DESAYUNOS, SNACKS Y  DULCES",Esparragos Blancos,1.0,CHOICE,CHOICE,CHOICE,,esparrago blanco,43,,Esparrago
2273.0,don,,,"DESAYUNOS, SNACKS Y  DULCES",Cebollitas En Vinagre,1.0,JUAN,JUAN,JUAN,,cebollita vinagre,43,,Vinagre
2274.0,mamminger,,,"DESAYUNOS, SNACKS Y  DULCES",Pepinos Condimentados,1.0,720ML,ML,ML,720.0,pepino condimentado,43,,Condimentado Pepino
2275.0,mamminger,,,"DESAYUNOS, SNACKS Y  DULCES",Pepinos En Bastones,1.0,720ML,ML,ML,720.0,pepino bastón,43,,Bastón Pepino
2278.0,tottus,,TOTTUS,DESPENSA,Salsa Tomate Arriabatta,1.0,420G,GR,GR,420.0,salsa tomate arriabatta,20,Salsa Tomate,Salsa Tomate
2279.0,pomi,,,DESPENSA,Salsa Passata,1.0,700G,GR,GR,700.0,salsa passata,31,Salsa,Salsa
2280.0,barilla,,,DESPENSA,Salsa Tomate Basilico,1.0,400G,GR,GR,400.0,salsa tomate basilico,20,Salsa Tomate,Salsa Tomate
2282.0,pomi,,,DESPENSA,Salsa tomate oliva,1.0,400G,GR,GR,400.0,salsa tomate oliva,20,Salsa Tomate,Salsa Tomate
2283.0,barilla,,,DESPENSA,Salsa Tomate Pomodori Secchi,1.0,200G,GR,GR,200.0,salsa tomate pomodori secchi,20,Salsa Tomate,Salsa Tomate
2285.0,carozzi,,CAROZZI,DESPENSA,Ravioli Carozzi Ricota Espinaca,1.0,400GR,GR,GR,400.0,ravioli carozzi ricota espinaca,43,,Espinaca Ravioli Ricota
2286.0,edra,,,DESPENSA,Perejil,1.0,15G,GR,GR,15.0,perejil,43,,Perejil
2287.0,pancho,,,DESPENSA,Salsa Mexicana Doypack Pancho Villa Picante,1.0,?VILLA,VILLA,VILLA,,salsa mexicano doypack pancho villa picante,31,Salsa,Salsa
2288.0,edra,,,DESPENSA,Comino Molido Edra,1.0,15G,GR,GR,15.0,comino molido edra,43,,Comino Molido
2289.0,edra,,,DESPENSA,Condimentos,1.0,15G,GR,GR,15.0,condimento,43,,
2290.0,edra,,,DESPENSA,Pimienta Molida,1.0,15G,GR,GR,15.0,pimienta molido,258,Molido Pimienta,Molido Pimienta
2291.0,tottus,,TOTTUS,"CARNES, PESCADOS Y  FIAMBRES",Sobrecostilla Tottus Imp Cat- V Vacio,1.0,?IMPORTADO,IMPORTADO,IMPORTADO,,sobrecostilla tottus imp cat- vacio,22,Cat Vacio,Cat Vacio
2292.0,la crianza,,AGROSUPER,"CARNES, PESCADOS Y  FIAMBRES",Lomo Liso Vacio Imp Cat-V,1.0,?GRAN,GRAN,GRAN,,lomo liso vacio imp cat-v,22,Cat Vacio,Cat Vacio
2293.0,tottus,,TOTTUS,"CARNES, PESCADOS Y  FIAMBRES",Tapapecho Angus Cat-V,1.0,?BLACK,BLACK,BLACK,,tapapecho angus cat-v,90,Cat,Cat
2294.0,tottus,,TOTTUS,"CARNES, PESCADOS Y  FIAMBRES",Huachalomo Nac. Cat. V,1.0,?NACIONAL,NACIONAL,NACIONAL,,huachalomo nac cat,1,Nac,Nac
2295.0,la crianza,,AGROSUPER,"CARNES, PESCADOS Y  FIAMBRES",Punta Paleta Vacio Imp Cat-V,1.0,?GRAN,GRAN,GRAN,,punta paleta vacio imp cat-v,17,Cat Imp,Cat Imp
2296.0,tottus,,TOTTUS,"CARNES, PESCADOS Y  FIAMBRES",Posta Rosada Nac. Cat. V. Natural,1.0,?NATURAL,NATURAL,NATURAL,,posta rosado nac cat natural,231,Nac,Nac
2297.0,tottus,,TOTTUS,"CARNES, PESCADOS Y  FIAMBRES",Sobrecostilla Angus Cat-V,1.0,?BLACK,BLACK,BLACK,,sobrecostilla angus cat-v,90,Cat,Cat
2298.0,tottus,,TOTTUS,"CARNES, PESCADOS Y  FIAMBRES",Lomo Liso Angus Cat-V,1.0,?BLACK,BLACK,BLACK,,lomo liso angus cat-v,90,Cat,Cat
2299.0,tottus,,TOTTUS,"CARNES, PESCADOS Y  FIAMBRES",Posta Negra Nac. Cat. V Natural,1.0,?NATURAL,NATURAL,NATURAL,,posta negro nac cat natural,231,Nac,Nac
2300.0,la crianza,,AGROSUPER,"CARNES, PESCADOS Y  FIAMBRES",Plateada Vacio Imp Cat-V,1.0,?GRAN,GRAN,GRAN,,plateado vacio imp cat-v,22,Cat Vacio,Cat Vacio
